Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
29-06-2023,13:11,29-06-2023,REDEIA,ES0173093024,"Compra 6 Redeia@15,32 EUR (ES0173093024)",,EUR,-91.92,EUR,445.05,3ce42014-9a67-497a-aefa-87703d2fab77
29-06-2023,11:21,29-06-2023,,,flatex Deposit,,EUR,500.00,EUR,536.97,
29-06-2023,07:37,28-06-2023,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Dividendo,,USD,1.65,USD,1.65,
23-06-2023,16:34,23-06-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 650,62 EUR",,,,EUR,36.97,
23-06-2023,16:34,23-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,650.62,EUR,687.59,
23-06-2023,14:53,23-06-2023,MAPFRE,ES0124244E34,Spanish Transaction Tax,,EUR,-0.68,EUR,36.97,d0fd4c63-0097-40d3-ba29-a03241f20515
23-06-2023,14:53,23-06-2023,MAPFRE,ES0124244E34,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,37.65,d0fd4c63-0097-40d3-ba29-a03241f20515
23-06-2023,14:53,23-06-2023,MAPFRE,ES0124244E34,"Compra 190 Mapfre@1,778 EUR (ES0124244E34)",,EUR,-337.82,EUR,39.65,d0fd4c63-0097-40d3-ba29-a03241f20515
23-06-2023,14:27,23-06-2023,BANCO SANTANDER,ES0113900J37,Spanish Transaction Tax,,EUR,-0.62,EUR,377.47,0b74ea40-fe63-4ac0-a3d4-f49a23da6ab3
23-06-2023,14:27,23-06-2023,BANCO SANTANDER,ES0113900J37,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,378.09,0b74ea40-fe63-4ac0-a3d4-f49a23da6ab3
23-06-2023,14:27,23-06-2023,BANCO SANTANDER,ES0113900J37,"Compra 100 Banco Santander@3,075 EUR (ES0113900J37)",,EUR,-307.50,EUR,380.09,0b74ea40-fe63-4ac0-a3d4-f49a23da6ab3
01-06-2023,17:49,01-06-2023,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 2,5 EUR",,,,EUR,687.59,
01-06-2023,17:49,01-06-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,2.50,EUR,690.09,
01-06-2023,14:52,31-05-2023,,,Comisión de conectividad con el mercado 2023 (Tradegate AG - TDG),,EUR,-2.50,EUR,687.59,
30-05-2023,11:21,30-05-2023,,,flatex Deposit,,EUR,500.00,EUR,690.09,
26-05-2023,09:49,25-05-2023,,,Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 107 EUR,,,,EUR,190.09,
26-05-2023,09:49,25-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,107.00,EUR,297.09,
25-05-2023,17:34,25-05-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 34,63 EUR",,,,EUR,190.09,
25-05-2023,17:34,25-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-34.63,EUR,155.46,
25-05-2023,16:14,25-05-2023,ISHARES MSCI CHINA A UCITS ETF USD (ACC),IE00BQT3WG13,Costes de transacción y/o externos de DEGIRO,,EUR,-1.00,EUR,190.09,d9e734f1-c2d6-4701-b974-91034e623759
25-05-2023,16:14,25-05-2023,ISHARES MSCI CHINA A UCITS ETF USD (ACC),IE00BQT3WG13,"Compra 25 iShares MSCI China A UCITS ETF USD (Acc)@4,24 EUR (IE00BQT3WG13)",,EUR,-106.00,EUR,191.09,d9e734f1-c2d6-4701-b974-91034e623759
25-05-2023,06:35,24-05-2023,MAPFRE,ES0124244E34,Dividendo,,EUR,42.75,EUR,297.09,
25-05-2023,06:35,24-05-2023,MAPFRE,ES0124244E34,Retención del dividendo,,EUR,-8.12,EUR,254.34,
23-05-2023,16:49,23-05-2023,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 21,96 EUR",,,,EUR,262.46,
23-05-2023,16:49,23-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-21.96,EUR,240.50,
23-05-2023,07:46,22-05-2023,MERLIN PROPERTIES SOCIMI SA,ES0105025003,Dividendo,,EUR,27.11,EUR,262.46,
