Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
15-09-2022,12:43,ACERINOX,ES0132105018,MAD,XMAD,41,8.5300,EUR,-349.73,EUR,-349.73,EUR,,-1.00,EUR,-350.73,EUR,982dc3d7-b4c1-46f2-a584-83bd5f5cc124
31-08-2022,11:08,FERROVIAL,ES0118900010,MAD,MESI,-15,25.1300,EUR,376.95,EUR,376.95,EUR,,-0.50,EUR,376.45,EUR,3ce190bd-ce77-41a1-b3f0-b4eed8f82f59
31-08-2022,10:51,REPSOL SA,ES0173516115,MAD,MESI,-40,13.0000,EUR,520.00,EUR,520.00,EUR,,-0.50,EUR,519.50,EUR,bacecc20-5e29-42ce-95fd-33c6eb8de039
30-08-2022,17:03,REDEIA CORPORACION SA,ES0173093024,MAD,MESI,-47,18.9000,EUR,888.30,EUR,888.30,EUR,,-0.50,EUR,887.80,EUR,f8e05ea3-8b07-45c4-afad-e9ff9a2e7b9a
29-08-2022,15:32,NATURGY ENERGY GROUP SA,ES0116870314,MAD,MESI,-5,28.4600,EUR,142.30,EUR,142.30,EUR,,-0.50,EUR,141.80,EUR,eba1304b-f907-4332-a6e2-6afb4be79d64
11-07-2022,12:21,IBERDROLA SA-RTS,ES06445809O6,MAD,XMAD,-42,0.2780,EUR,11.68,EUR,11.68,EUR,,-0.50,EUR,11.18,EUR,de12508b-debf-4bda-8a39-d2de1d8ad58a
08-07-2022,00:00,IBERDROLA SA-RTS,ES06445809O6,MAD,,42,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
29-06-2022,09:00,ACERINOX,ES0132105018,MAD,XMAD,54,9.6500,EUR,-521.10,EUR,-521.10,EUR,,-0.50,EUR,-521.60,EUR,7818b5cb-0f6d-437b-a1b3-5742bc32e876
30-05-2022,10:44,FERROVIAL SA-RTS - NON TRADEABLE,ES06189009J3,DEG,,-15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
18-05-2022,00:00,FERROVIAL SA-RTS - NON TRADEABLE,ES06189009J3,DEG,,15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
18-05-2022,00:00,FERROVIAL SA-RTS,ES06189009J3,MAD,,-15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
11-05-2022,11:23,FERROVIAL SA-RTS,ES06189009J3,MAD,,15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
11-05-2022,11:23,FERROVIAL - NON TRADEABLE,ES06189009J3,DEG,,-15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
11-05-2022,00:00,FERROVIAL - NON TRADEABLE,ES06189009J3,DEG,,15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
22-04-2022,09:00,REPSOL SA,ES0173516115,MAD,MESI,-42,13.2950,EUR,558.39,EUR,558.39,EUR,,-0.50,EUR,557.89,EUR,57efb678-6f54-4638-b2d6-bfcb2b30f149
04-02-2022,10:04,IBERDROLA - NON TRADEABLE,ES0144583251,DEG,,-1,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
04-02-2022,10:04,IBERDROLA,ES0144580Y14,MAD,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
01-02-2022,00:00,IBERDROLA - NON TRADEABLE,ES0144583251,DEG,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
01-02-2022,00:00,IBERDROLA SA-RTS,ES06445809N8,MAD,,-60,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
17-01-2022,10:44,IBERDROLA SA-RTS,ES06445809N8,MAD,XMAD,19,0.1664,EUR,-3.16,EUR,-3.16,EUR,,-0.50,EUR,-3.66,EUR,2fe4c597-b230-4726-b306-616cf90ba5e9
10-01-2022,00:00,IBERDROLA SA-RTS,ES06445809N8,MAD,,41,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
16-12-2021,16:30,FERROVIAL - NON TRADEABLE,ES06189009I5,DEG,,-15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
26-11-2021,13:52,INT.AIRL.GRP,ES0177542018,MAD,XMAD,300,1.5650,EUR,-469.50,EUR,-469.50,EUR,,,EUR,-469.50,EUR,6f0f03cb-d1c5-4857-9382-f6c7cf21d9e8
23-11-2021,17:33,DOLE PLC,IE0003LFZ4U7,NSY,XNYS,50,13.4200,USD,-671.00,USD,-595.55,EUR,1.1267,,EUR,-595.55,EUR,10e20c93-7c9f-4a65-b00f-6ce0118481fd
10-11-2021,00:00,FERROVIAL - NON TRADEABLE,ES06189009I5,DEG,,15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
10-11-2021,00:00,FERROVIAL SA-RTS,ES06189009I5,MAD,,-15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
03-11-2021,00:00,FERROVIAL SA-RTS,ES06189009I5,MAD,,15,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
19-10-2021,12:50,INT.AIRL.GRP,ES0177542018,MAD,MESI,150,1.9950,EUR,-299.25,EUR,-299.25,EUR,,-2.15,EUR,-301.40,EUR,964b36b7-dd96-4efe-b5b5-dce11dc3ccdb
28-09-2021,10:34,EBRO FOODS,ES0112501012,MAD,XMAD,30,16.6400,EUR,-499.20,EUR,-499.20,EUR,,-2.25,EUR,-501.45,EUR,ab5608e6-ac7a-4e3a-a07b-f31f75a5aca4
13-09-2021,15:38,INT.AIRL.GRP,ES0177542018,MAD,MESI,400,1.7000,EUR,-680.00,EUR,-680.00,EUR,,-2.34,EUR,-682.34,EUR,2d68c5f8-cbcd-4604-bc90-03809bbf831d
06-09-2021,11:33,AMADEUS IT,ES0109067019,MAD,XMAD,15,51.4000,EUR,-771.00,EUR,-771.00,EUR,,-2.39,EUR,-773.39,EUR,59bd13c1-8e99-40ce-8606-0402c001733c
13-08-2021,00:00,IBERDROLA,ES0144580Y14,MAD,,1,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
13-08-2021,00:00,IBERDROLA SA-RTS,ES06445809M0,MAD,,-40,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
